## File reconstructed from Graphpad-PRIZM file "IL-8 EXP1_2_3.pzf" recieved from
## Stefan Vaessen on 11 january 2018
## Author last edit: Marc A.T. Teunis (dd 28 July 2018)
## Analytes: ApoE (apoe); PLP (plp); EGCG (egcg) and BBCI (bbci)
## Dataset published in: Head-to-Head Comparison of Anti-Inflammatory Performance of
## Known Natural Products In Vitro
##   Iris E. Allijn ,
##    Stefan F. C. Vaessen,
##   Linda C. Quarles van Ufford,
##    Kees J. Beukelman,
##    Menno P. J. de Winther,
##    Gert Storm,
##    Raymond M. Schiffelers
## PLOS
##    Published: May 10, 2016
##    https://doi.org/10.1371/journal.pone.0155325
## Experimental design: Three replicates per group (A, B, and C). Cells were exposed to
## multiple concentrations of
## different natural products (natural_product), in triplicates (A1:A3, ...). The outcome
## parameter (the numeric values in the cells) are the measured IL-8 (cytokine) concentration as determined
## by ELISA. For more details see the literature reference above.
##
natural_product	conc	A1	A2	A3	B1	B2	B3	C1	C2	C3
apoe	250.00	438.3010	584.2070	505.2502	709.5700	630.1590	625.2930	596.7920	531.3830	483.1285
apoe	125.00	511.7890	633.1010	457.2814	673.2820	593.1240	604.5272	642.0110	580.7640	657.6486
apoe	62.500	488.0660	576.9670	478.2895	903.0280	672.2790	609.6836	580.8520	742.3030	847.3610
apoe	31.250	528.4520	594.4180	480.9506	778.0000	677.4820	665.2350	856.7150	512.2500	712.8177
apoe	15.625	601.2610	640.6770	520.4104	780.8640	656.7950	626.6033	598.2440	631.1720	731.3863
plp	250.00	725.3490	815.1000	592.2879	1064.582	794.5020	870.5393	776.0060	957.0820	784.3987
plp	125.00	721.7360	564.0450	534.3967	863.2870	780.3900	663.8825	858.1740	701.2540	751.5902
plp	62.500	651.4630	646.7700	540.0457	809.8030	709.1510	614.8634	790.7320	732.8310	709.7309
plp	31.250	629.4450	612.1230	523.1921	706.8480	551.4270	767.9086	719.9680	709.9860	764.0651
plp	15.625	660.0380	600.2910	608.7538	741.2770	575.0550	782.5785	737.6680	711.2190	723.6395
egcg	250.00	138.9930	213.4340	170.2819	183.3230	145.3450	164.0713	88.74900	125.0530	123.1815
egcg	125.00	234.2430	326.8510	255.2677	240.7430	226.0600	192.2448	185.9840	346.4490	353.5812
egcg	62.500	424.6190	421.3900	368.9099	458.1780	355.2960	464.0208	323.8710	435.9820	357.3717
egcg	31.250	585.0040	628.5770	525.9816	597.4900	616.4410	537.1980	749.4690	820.4410	579.6917
egcg	15.625	534.5830	578.4110	530.1804	790.9300	710.4870	695.3598	710.6050	747.9330	679.3524
bbci	125.00	378.6080	594.4180	403.2907	434.7960	356.2150	416.3451	456.3790	240.8510	297.4404
bbci	62.500	469.2410	463.2290	366.5991	538.2010	491.3830	433.3551	420.9920	513.7150	238.8693
bbci	31.250	358.5470	513.7910	409.3838	635.4270	544.4420	502.7945	544.8870	561.1780	451.1995
bbci	15.625	634.4900	682.3510	430.4643	593.7650	604.1090	712.0889	592.4380	629.6310	545.9965
bbci	7.8125	511.7890	548.4470	469.0372	706.8480	641.5030	555.4741	666.9520	712.2700	517.1458
dmso	0	883.731	787.9600	667.4479	931.0880	950.6930	828.9819	917.6060	950.6500	1006.255
dmso	0	660.038	598.8200	552.8698	896.8530	788.8410	773.7591	745.3730	896.3150	876.6353
dmso	0	656.601	598.8200	562.9531	737.1000	749.8120	684.3237	724.7390	947.4340	900.2072
dmso	0	614.438	698.1130	557.1795	820.0630	721.2240	775.2253	740.6180	791.1000	856.8468
dmso	0	747.232	646.7700	625.4552	842.2750	877.4740	709.2862	891.6150	824.1270	746.9201
